,Label,SuperCategory,"Has role","Is part of",Id,Synonym,DefiningCitation,Definition,Comment
":Category:Intracellular electrode recording protocol","Intracellular electrode recording protocol","Micro-electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2273,,,,
":Category:Ion channel kinetics","Ion channel kinetics","Electrophysiology concept",,,oen_0001065,,ModelDB:3631,,
":Category:Ion channel recording protocol","Ion channel recording protocol","Micro-electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2274,,,,
":Category:Ion-sensitive electrode recording protocol","Ion-sensitive electrode recording protocol","Amperometric electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2289,,,,
":Category:Junctional fold","Junctional fold","Cellular component",":Category:Electrophysiology concept",":Category:Motor endplate",oen_0001156,,,"The specialized membrane in folding at the end plate of a muscle fiber in the region of the motor nerve terminal","Changed the hierarchy.  Made this part of the motor endplate and sub-category of Cellular component"
":Category:Labeled line code","Labeled line code","Neural coding",,,oen_0001123,,,"A method of coding information based on specific neuronal pathways, or private lines that distinguish activity in one pathway from that in another pathway.",
":Category:Lateral inhibition","Lateral inhibition","Cognitive Atlas Concept",":Category:Electrophysiology concept,:Category:Local Circuit role",,oen_0001155,"Feedback inhibition,lateral inhibition",,"the capacity of an excited neuron to reduce the activity of its neighbors.",
":Category:Leakage conductance","Leakage conductance","Nerve conduction",":Category:Electrophysiology concept",,oen_0001126,,,"The total conductance of a population of resting ion channels.",
:Category:Lesion,Lesion,"Specimen preparation protocol",":Category:Electrophysiology concept",,nlx_090802,,,"A localized pathological or traumatic structural change, damage, deformity, or discontinuity of tissue, organ, or body part (adapted from NCI Metathesaurus)",
":Category:Light stimulus transduction","Light stimulus transduction","Sensory stimulus transduction",,,birnlex_15003,"sensory detection of light stimulus",,"The series of events in which a sensory light stimulus is received and converted into a molecular signal. (GO:ai) (GO)",
":Category:Local Circuit role","Local Circuit role",Role,":Category:Electrophysiology concept",,oen_0001175,"Pathway,Small circuit",,"A series of connections between neurons that constitute a functional unit",
":Category:Localization theory","Localization theory","Electrophysiology theory",":Category:Electrophysiology concept",,oen_0001100,,,"A theory of brain function, which states that individual mental functions or behaviors are performed by specific parts of brain, rather than by the brain as a whole.",
":Category:Long term depression","Long term depression","Regulation of synaptic transmission",,,GO:0060292,"Long-term depression,LTD,long term synaptic depression",,"A process that modulates synaptic plasticity such that synapses are changed resulting in the decrease in the rate, or frequency of synaptic transmission at the synapse.","The NIF ID should be deprecated and replaced with the GO term, as we are now using the biological process ontology;  however, we have replaced the definition.  The GO people should be engaged on this.

Note: this concept is present in the Molecular function ontology (ID: GO:0060292), however the definition here is changed."
":Category:Long term potentiation","Long term potentiation","Long-term Synaptic Plasticity",,,nlx_inv_20081204,"Long-term potentiation,Long lasting potentiation,long lasting synaptic potentiation",http://www.bio-medicine.org/biology-definition/Long-term_potentiation/,"The strengthening (or potentiation) of the connection between two nerve cells which lasts for an extended period of time (minutes to hours in vitro and hours to days and months in vivo). LTP can be induced experimentally by applying a sequence of short, high-frequency stimulations to nerve cell synapses.","Gene Ontology Biological Process lists Long Term Potentiation etc.  I think we should probably just use the GO for now and extend it for neuroscience., I have removed the synonym ""Long term facilitation"" because facilitation and potentiation on the cellular level have different underlying mechanisms, and Long term facilitation is associated with whole animal behaviors (for example, respiratory long-term facilitation following acute intermittent hypoxia PMID 17099064) and is not normally used in cellular behavior, where the term long term potentiation is used."
:Category:Long-QT,Long-QT,"Muscular Disease",":Category:Electrophysiology concept",,oen_0001063,,ModelDB:88214,"A condition that is characterized by episodes of fainting (SYNCOPE) and varying degree of ventricular arrhythmia as indicated by the prolonged QT interval. The inherited forms are caused by mutation of genes encoding cardiac ion channel proteins",
":Category:Long-term Synaptic Plasticity","Long-term Synaptic Plasticity","Synaptic Plasticity",,,oen_0001062,,ModelDB:3647,,
":Category:Macro-electrode recording protocol","Macro-electrode recording protocol","Electrical recording protocol",":Category:Electrophysiology concept",,birnlex_2271,,,,
":Category:Macropatch voltage clamp recording protocol","Macropatch voltage clamp recording protocol","Single-electrode voltage clamp recording protocol",":Category:Electrophysiology concept",,oen_0001315,,,,
":Category:Magnetic field stimulus transduction","Magnetic field stimulus transduction","Solid object-coupled ciliary displacement stimulus transduction",,,birnlex_15018,"magnetoception,sensory transduction of mechanical stimulus",,"The series of events involved in magnetoception in which a sensory mechanical stimulus is received by a cell and converted into a molecular signal. The stimulus is in the form of torque on particles such as magnetite which respond to a magnetic field.",
":Category:Map reorganization","Map reorganization","Electrophysiology concept",,,oen_0001166,,,"Changes to a map after a learning or a traumatic event, for example PMID: 2118613",
":Category:Mathematical expression","Mathematical expression",Algorithm,":Category:Electrophysiology concept",,SBO:0000064,,,"Formal representation of a calculus linking parameters and variables of a model.",
":Category:Mechanical stimulus transduction","Mechanical stimulus transduction","Sensory stimulus transduction",,,birnlex_15001,"sensory detection of mechanical stimulus",,"The series of events in which a sensory mechanical stimulus is received and converted into a molecular signal. (GO:ai) (GO)",
":Category:Mechanically gated channel","Mechanically gated channel","Ion Channel",":Category:Electrophysiology concept",,oen_0001149,"Stretch receptor channel",,"An ion channel that transduces mechanical stimuli into electrical responses.",
":Category:Membrane potential","Membrane potential","Electric potential",":Category:Electrophysiology concept",,PATO_0001462,,,"A quality inhering in a cell's plasma membrane by virtue of the electric potential difference across it.",
":Category:Micro-electrode recording assay","Micro-electrode recording assay","Electrical recording assay",":Category:Electrophysiology concept",,nlx_inv_090909,"Microelectrode recording,micro-electrode recording",,,
":Category:Micro-electrode recording protocol","Micro-electrode recording protocol","Electrical recording protocol",":Category:Electrophysiology concept",,birnlex_2270,,,,
":Category:Microelectrode array assay","Microelectrode array assay","Micro-electrode recording assay",":Category:Electrophysiology concept",,nlx_49488,,,"An assay that uses a microelectrode device.  A microelecrtode device contain multiple plates or shanks through which neural signals are obtained or delivered, essentially serving as neural interfaces that connect neurons to electronic circuitry. There are two general classes of MEAs: implantable MEAs, used in vivo, and non-implantable MEAs, used in vitro (adapted from Wikipedia http://en.wikipedia.org/wiki/Multielectrode_array).",
":Category:Molecule flow stimulus transduction","Molecule flow stimulus transduction","Sensory stimulus transduction",,,birnlex_15009,,,"This is a stimulus where the flow of a specific molecular species is the direct event being detected",
":Category:Motor map","Motor map","Topographic map",,,oen_0001172,,,"A homunculus measured in the motor cortex.",
":Category:Motor unit","Motor unit","Aggregate Object",":Category:Electrophysiology concept",":Category:Motor system",oen_0001163,,,"An alpha motor neuron with its axon and the muscle fibers which it supplies. (Brodal, P., Neurological Anatomy, 1981, Oxford University Press, pg 151)

In Physiology: A single motor neuron and all fibers of the several muscles that it innervates.",
":Category:Multiple electrode extracellular recording protocol","Multiple electrode extracellular recording protocol","Extracellular electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2865,,,,
":Category:Multiple-electrode voltage clamp recording protocol","Multiple-electrode voltage clamp recording protocol","Voltage clamp current recording protocol",":Category:Electrophysiology concept",,birnlex_2282,,,,
":Category:Neural circuit","Neural circuit","Computational model",":Category:Electrophysiology concept",,nlx_137453,"Neural network,Neuronal signaling,Neural networks",,"neural network describes a population of physically interconnected neurons or a group of disparate neurons whose inputs or signalling targets define a recognizable circuit. Communication between neurons often involves an electrochemical process. The interface through which they interact with surrounding neurons usually consists of several dendrites (input connections), which are connected via synapses to other neurons, and one axon (output connection). If the sum of the input signals surpasses a certain threshold, the neuron sends an action potential (AP) at the axon hillock and transmits this electrical signal along the axon.

In contrast, a neuronal circuit is a functional entity of interconnected neurons that influence each other (similar to a control loop in cybernetics). - definition adapted from Wikipedia",
":Category:Neural coding","Neural coding","Electrophysiology concept",,,oen_0001182,,,,
":Category:Neural encoding","Neural encoding","Cellular physiology characteristic",":Category:Electrophysiology concept",,oen_0001174,,,"The process by which a neuron translates physical energy of a stimulus into electrical activity representing features of the stimulus",
:Category:Neuromodulation,Neuromodulation,"Electrophysiology concept",,,nlx_137443,,,,
":Category:Neuronal birthday","Neuronal birthday","Electrophysiology concept",,,oen_0001120,,,"The time that a neuronal progenitor cell leaves the cell cycle and gives rise to a postmitotic neuron.",
:Category:Neurophysiology,Neurophysiology,Physiology,":Category:Electrophysiology concept",,nlx_inv_100651,Psychophysiology,,"A discipline which utilizes physiological techniques to study the nervous system.",
:Category:Neuroplasticity,Neuroplasticity,"Electrophysiology concept",,,nlx_137439,"Plasticity,Brain plasticity,Cortical plasticity,Cortical re-mapping",,"is the changing of neurons and the organization of their networks and so their function by experience. This idea was first proposed in 1892 by Santiago Ramón y Cajal the proposer of the neuron doctrine though the idea was largely neglected for the next fifty years. The first person to use the term neural plasticity appears to have been the Polish neuroscientist Jerzy Konorski.

The brain consists of nerve cells or neurons (and glial cells) which are interconnected, and learning may happen through changing of the strength of the connections between neurons, by adding or removing connections, or by adding new cells. ""Plasticity"" relates to learning by adding or removing connections, or adding cells. During the 20th century, the consensus was that lower brain and neocortical areas were immutable in structure after childhood, meaning learning only happens by changing of connection strength, whereas areas related to memory formation, such as the hippocampus and dentate gyrus, where new neurons continue to be produced into adulthood, were highly plastic. This belief is being challenged by new findings, suggesting all areas of the brain are plastic even after childhood. Hubel and Wiesel had demonstrated that ocular dominance columns in the lowest neocortical visual area, V1, were largely immutable after the critical period in development. Critical periods also were studied with respect to language; the resulting data suggested that sensory pathways were fixed after the critical period. However, studies determined that environmental changes could alter behavior and cognition by modifying connections between existing neurons and via neurogenesis in the hippocampus and other parts of the brain, including the cerebellum. - definition adapted from Wikipedia",
":Category:Noise Sensitivity","Noise Sensitivity","Electrophysiology concept",,,oen_0001055,,ModelDB:122331,"Measure of the relative changes in a variable of interest as a function of noise.",
":Category:Non-gated channel","Non-gated channel","Ion Channel",":Category:Electrophysiology concept",,oen_0001148,"Resting channel,Leak channel",,"An ion channel that passively conducts ions across the cell membrane.",
":Category:Nonsynaptic conduction","Nonsynaptic conduction","Nerve conduction",":Category:Electrophysiology concept",,oen_0001127,,,"current flow through an area of postsynaptic membrane that surrounds a region containing synaptically activated ion channels.",
:Category:Octave,Octave,"Electrophysiology concept",,,oen_0001231,,,"a range of frequencies where the largest frequency is double the lowest frequency (adapted from the Axon Guide)",
":Category:Olfactory stimulus transduction","Olfactory stimulus transduction","Chemical stimulus transduction",,,birnlex_15007,"sensory detection of olfactory stimulus,smell stimulus transduction,sensory detection of smell stimulus",,"The series of events in which a sensory chemical stimulus is received and converted into a molecular signal. (GO:ai) (GO)",
":Category:PH-sensitive electrode recording protocol","PH-sensitive electrode recording protocol","Ion-sensitive electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2290,,,,
":Category:Pain sensation","Pain sensation",Somatosensation,":Category:Electrophysiology concept",,birnlex_1814,"Physical suffering,Nociception,Pain perception,Ache,Pain","Adams et al., Principles of Neurology, 6th ed, p45","An unpleasant sensation induced by noxious stimuli and generally received by specialized nerve endings (MeSH).",
":Category:Parallel processing","Parallel processing","Electrophysiology concept",,,oen_0001180,,,"deployment of several parallel neuronal pathways to convey similar information or to process different components of a common sensory modality, eg., processing of form and motion in vision.",
":Category:Parameter Fitting","Parameter Fitting","Neural coding",":Category:Electrophysiology concept",,oen_0001054,,ModelDB:3637,,
":Category:Parameter sensitivity","Parameter sensitivity","Electrophysiology concept",,,oen_0001053,,ModelDB:116962,"In neural modeling, refers to how model results vary as model parameters are changed.",
":Category:Pass band","Pass band","Device parameter",":Category:Electrophysiology concept",,oen_0001235,,,"Frequency region below the 3DB frequency (adapted from the Axon Guide)",
":Category:Patch clamp technique","Patch clamp technique","Electrical recording protocol",":Category:Electrophysiology concept",,oen_0001179,"Patching,patch",,"A method for recording the electrical activity of neurons or small pathes of membrane by forming a tight seal between electrode and membrane",
:Category:Pathophysiology,Pathophysiology,"Specimen preparation",":Category:Electrophysiology concept",,oen_0001051,,,"Used with organs and diseases for disordered function in disease states.",
":Category:Pattern Recognition","Pattern Recognition","Recognition memory function",":Category:Electrophysiology concept",,oen_0001050,,ModelDB:3542,,
":Category:Perceptual Categories","Perceptual Categories","Sensory perception",":Category:Electrophysiology concept",,oen_0001049,,ModelDB:113658,"A process that involves higher-level neural processing of continuous sensory information into discrete categories, e.g. resolving wavelengths of light into hues of color, or gradual differences of auditory frequencies into musical intervals.",
":Category:Phase shift","Phase shift","Device parameter",":Category:Electrophysiology concept",,oen_0001233,,,"the phase of sinusoidal componens of the input signal is shifted by the filer. (adapted from the Axon Guide)",
":Category:Physiology Instrument","Physiology Instrument",Device,":Category:Instrument role,:Category:Electrophysiology concept",,nlx_151760,,,"A device or instrument that is used to measure attributes of living cells, tissues or organisms while the cells, tissues or organism is alive.",
":Category:Place cell","Place cell","Defined neuron class",":Category:Electrophysiology concept",,oen_0001048,"Place field",,"Cells that spike to indicate a specific spatial location in the environment. The spatial locations that results in place cell spiking are called place fields.",
":Category:Population code","Population code","Neural coding",,,oen_0001125,,,"A method of coding the properties of a stimulus strength or quality in terms of number of responding neurons.",
":Category:Population spike","Population spike","Electrophysiology concept",,,oen_0001095,,,"Is an extracellular voltage shift, representing of a group of cells firing action potentials at the same instance in time.  In hippocampus, when recording from the cell body region the population spike is a strong, fast onset negative shift in voltage cutting through a positive field-EPSP.",
":Category:Post-Tetanic Potentiation","Post-Tetanic Potentiation","Synaptic Plasticity",,,oen_0001047,"Posttetanic potentiation,Post tetanic potentiation,PTP",ModelDB:22011,"is a form of short-term synaptic plasticity resulting from an increased calcium concentration in the presynaptic terminal during relatively high frequency activation of the axon.",
":Category:Postsynaptic inhibition","Postsynaptic inhibition","Electrophysiology concept",,,oen_0001157,,,"The hyperpolarization of a postsynaptic cell, reducing the likelihood of or preventing an action potential in the postsynaptic cell",
":Category:Pressure stimulus transduction","Pressure stimulus transduction","Mechanical stimulus transduction",,,birnlex_15010,,,"This is a stimulus where the the direct physical property being sensed is the local pressure, such as with the baroreceptors in the the aortic arch and carotid sinuses of higher mammals.",
":Category:Presynaptic facilitation","Presynaptic facilitation",Facilitation,,,oen_0001259,,,"Action by a presynaptic neuron at an axo-axonic synapse increasing the amount of neurotransmitter released by the postsynaptic cell onto a third cell.",
":Category:Presynaptic inhibition","Presynaptic inhibition","Synaptic Plasticity",":Category:Electrophysiology concept",,oen_0001158,"Axo-axonic inhibition",,"action by a presynaptic cell at an axo-axonic synapse to reduce the communication of the postsynaptic cell with any downstream cell.",
:Category:Pruning,Pruning,Development,":Category:Electrophysiology concept",,oen_0001186,,,"A process by which some neuronal elements are removed during development.  Typically a function of sensory experience.",
":Category:Quantal transmission","Quantal transmission","Synaptic transmission",":Category:Electrophysiology concept",,oen_0001185,,,"Transmission of information from pre-synaptic axons to post-synaptic elements, which occurs in steps or quanta.  Quanta have generally been though of as vesicles releasing their content.",
:Category:Recapitulation,Recapitulation,"Electrophysiology concept",,,oen_0001165,,,"Changes to a map consistent with an earlier or embryonic representation.",
":Category:Receptive field","Receptive field","Electrophysiology concept",,,oen_0001184,,,"The area of the receptor sheet that excites a neuron.  For example, an area of skin or retina.",
":Category:Reconstituted bilayer electrical recording protocol","Reconstituted bilayer electrical recording protocol","Electrical recording protocol",":Category:Electrophysiology concept",,birnlex_2288,,,,
":Category:Reconstituted bilayer single-channel patch recording protocol","Reconstituted bilayer single-channel patch recording protocol","Ion channel recording protocol",":Category:Electrophysiology concept",,birnlex_2287,"patch recording,patch clamp",,"Procedure by which a part of cellular membrane is recorded from. The notion is to isolate a single or at least a small number of channels in a ""patch"" of membrane.",
":Category:Refractory state","Refractory state","Action potential characteristic",":Category:Electrophysiology concept",,oen_0001205,,,"A period of time, usually after the firing of an action potential, where the cell is less likely to fire a subsequent action potential","Is this really an action potential characteristic?"
":Category:Regulation of synaptic transmission","Regulation of synaptic transmission","Electrophysiology concept",,,GO:0050804,,,,
":Category:Reinforcement Learning","Reinforcement Learning",Learning,":Category:Electrophysiology concept",,oen_0001045,,,"In neural modeling, a learning method where a neural network changes based on a positive or negative reward. The reward is an input to the network which depends on the model's behavior as it explores a solution space.","Meaning of reinforcement learning in neural networks is different from reinforcement learning in behavioral neuroscience experiments and also slight different from standard definition of reinforcement learning in the machine learning community."
":Category:Reward-modulated STDP","Reward-modulated STDP","Synaptic Plasticity",,,oen_0001044,,ModelDB:116858,,
:Category:Rheobase,Rheobase,"Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001018,"current threshold,I thresh,I<sub>thresh</sub>,AP rheobase",,"Current threshold to discharge APs during a ramp depolarization.  Minimum current required to fire an action potential during very slow increases in current.","NeuroElectro Term 7"
:Category:STDP,STDP,"Synaptic Plasticity",,,oen_0001035,"spike timing dependent plasticity",ModelDB:87578,"Changes in the efficacy of a synapse due to precise timing differences in the presynaptic and postsynaptic activity.",
":Category:Sag ratio","Sag ratio","Data attribute",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001015,"sag-ratio,sag index,sag",,"Ratio between exponentially extrapolated voltage and steady-state voltage","NeuroElectro Term 13"
":Category:Saltatory conduction","Saltatory conduction","Nerve conduction",":Category:Electrophysiology concept",,oen_0001183,,,"A form of conduction found in myelinated nerves, whereby the action potential jumps rapidly from one node of Ranvier to another",
":Category:Sampling rate","Sampling rate","Device parameter",":Category:Electrophysiology concept",,oen_0001214,,,"The rate at which a point is taken and recorded in a digital system.",
":Category:Sensory stimulus transduction","Sensory stimulus transduction","Stimulus transduction",,,birnlex_15000,Sensation,,,
":Category:Sensory threshold","Sensory threshold",Threshold,":Category:Electrophysiology concept",,oen_0001193,,,"The minimum amount of stimulus energy necessary to elicit a sensory response.",
":Category:Short-term Synaptic Plasticity","Short-term Synaptic Plasticity","Synaptic Plasticity",,,oen_0001042,STP,ModelDB:3644,"Changes in the Input(presynaptic cell APs)/Output(firing pattern or sub-threshold voltage responses) of a cell reflecting changes in the strength of the connection between cells or changed ionic conductances of the postsynaptic cell (usually over a half second to second).",
":Category:Signaling pathway","Signaling pathway",Pathway,":Category:Electrophysiology concept",,oen_0001041,,,"The molecular interactions that lead to the concentration of one molecule being converted to the chemical concentration or activation of another.  In some cases the transduction occurs through a membrane bound protein, in others the molecules share the same compartment.",
":Category:Single electrode extracellular recording protocol","Single electrode extracellular recording protocol","Extracellular electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2276,,,,
":Category:Single-electrode voltage clamp recording protocol","Single-electrode voltage clamp recording protocol","Voltage clamp current recording protocol",":Category:Electrophysiology concept",,birnlex_2280,,,,
":Category:Size principle","Size principle","Electrophysiology concept",,,oen_0001202,,,"The order of recruitment of motor neuron by the size of the cell",
":Category:Slice preparation protocol","Slice preparation protocol","Specimen preparation protocol",":Category:Electrophysiology concept",,nlx_491,"Slice preparation",,"Protocol in which slices of tissue are excised from an animal and kept alive in vitro.",
":Category:Slow afterhyperpolarization amplitude","Slow afterhyperpolarization amplitude","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001007,"sAHP size,sAHP amp,sAHP amplitude,slow AHP amplitude,slow AHP size",,"Amplitude from first AP onset to minimum voltage, explictly refered to as slow","NeuroElectro Term 21"
":Category:Slow afterhyperpolarization duration","Slow afterhyperpolarization duration","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001006,"sAHP duration,sAHP time,slow AHP duration,slow AHP time",,"Duration from first AP onset to minimum voltage, explictly refered to as slow","NeuroElectro Term 22"
":Category:Sodium pump","Sodium pump","Electrogenic Pump",":Category:Electrophysiology concept",,oen_0001038,"Sodium-potassium pump,Na+/K+-ATPase,Na+/K+ pump",,"Transporter protein that uses ATP to move sodium against its electrochemical gradient.",
":Category:Solid object-coupled ciliary displacement stimulus transduction","Solid object-coupled ciliary displacement stimulus transduction","Ciliary displacement stimulus transduction",,,birnlex_15019,,,"Energy transfer between some physical force and a solid object which is coupled to primary sensory cilia and whose displacement leads to stimulation of the neurons (BB: 2008-03-13)",
":Category:Somatomotor map","Somatomotor map","Topographic map",,,oen_0001167,,,,
":Category:Somatosensory map","Somatosensory map","Topographic map",":Category:Electrophysiology concept",,oen_0001171,Humunculus,,"A homunculus measured in the somatosensory cortex.","Doesn't homonculus also pertain to a motor map?  Doesn't it mean human?  I'm not sure it is a synonym."
":Category:Spatial summation","Spatial summation",Summation,,,oen_0001196,,,"Addition of two or more individual currents, which have distinct locations.",
":Category:Spatio-temporal activity pattern","Spatio-temporal activity pattern","Activity pattern",":Category:Electrophysiology concept",,oen_0001037,,ModelDB:3636,"In neural tissue or in models of neural networks, patterns of spiking activity that change over both space and time.","Spike train has no space so is not a superclass but instead something related."
":Category:Spike Frequency Adaptation","Spike Frequency Adaptation","Action potential characteristic",":Category:Electrophysiology concept",,oen_0001036,,ModelDB:116951,"Repetitive spiking that decreases in frequency over time. Eventually, spiking activity may cease.",
":Category:Spike Train","Spike Train",Aggregate_Object,":Category:Electrophysiology concept",,nlx_64003,,,"A spike train is a temporal series of all-or-none action potentials. (source: http://www.nature.com/nrn/journal/v6/n5/glossary/nrn1668_glossary.html)",
":Category:Spike half-width","Spike half-width","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001019,"spike halfwidth,half-width of spike,half-width of action potential,half amplitude duration,spike half width,spike half duration",,"Average time for first AP half amp to the same voltage during offset","NeuroElectro Term 6"
":Category:Spike overshoot","Spike overshoot","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001014,"action potential overshoot,overshoot,AP overshoot",,"Difference between the peak of the action potential and 0 mV","NeuroElectro Term 14"
":Category:Spike peak","Spike peak","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001002,"AP peak",,"Maximum voltage of AP","NeuroElectro Term 26"
":Category:Spike threshold","Spike threshold","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001500,"action potential threshold",,"Membrane potential required to initiate an action potential.","NeuroElectro Term"
":Category:Spike width","Spike width","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001005,"AP width,action potential width,AP duration,spike duration",,"Duration of AP, not explictly refered to as half-width","NeuroElectro Term 23"
":Category:Spontaneous Excitatory post synaptic potential","Spontaneous Excitatory post synaptic potential","Excitatory post synaptic potential",":Category:Electrophysiology concept",,nlx_qual_20090505,"mini,mEPSP,miniature EPSP",,"An EPSP that is elicited by the random fusion of a synaptic vesicle, in contrast to an evoked EPSP.",
":Category:Spontaneous firing rate","Spontaneous firing rate","Cellular physiology characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001011,"spontaneous firing frequency",,"AP discharge rate in the absence of current injection or a stimulus","NeuroElectro Term 18"
":Category:Stimulus transduction","Stimulus transduction","Electrophysiology concept",,,oen_0001200,,,"Encoding and movement of sensory information.",
":Category:Stop band","Stop band","Device parameter",":Category:Electrophysiology concept",,oen_0001234,,,"Frequency region above the 3DB frequency (adapted from the Axon Guide)",
:Category:Stuttering,Stuttering,"Action potential characteristic",":Category:Electrophysiology concept",,oen_0001034,,ModelDB:97751,"In neurons, rythmic high frequency bursts of action potentials with unpredictable periods of quiescence.",
:Category:Summation,Summation,"Synaptic Plasticity",":Category:Electrophysiology concept",,oen_0001197,Summation,,"Addition of two or more individual currents.",
":Category:Surgical protocol","Surgical protocol",Protocol,":Category:Electrophysiology concept",,nlx_152781,,,,
":Category:Synaptic Integration","Synaptic Integration","Electrophysiology concept",,,oen_0001033,,ModelDB:64174,"Integration of postsynaptic currents.",
":Category:Synaptic Plasticity","Synaptic Plasticity","Electrophysiology concept",,,oen_0001031,,,"Refers to capability for change in synaptic efficacy.",
":Category:Synaptic depression","Synaptic depression","Synaptic Plasticity",,,oen_0001280,,ModelDB:22012,"The weakening of the connection between two nerve cells.",
":Category:Synaptic modulation of active current","Synaptic modulation of active current","Synaptic Plasticity",,,oen_0001032,,ModelDB:41934,"Modification of channel-mediated currents that follows postsynaptic activation.",
:Category:Synchronization,Synchronization,"Electrophysiology concept",,,oen_0001030,,ModelDB:3635,"Simultaneous occurance of neural events such as coincident spiking or in phase oscillations in activity in neurons or neuronal networks.",
:Category:T(10-90),T(10-90),"Device parameter",":Category:Electrophysiology concept",,oen_0001228,"10-90% Rise time",,"the time it takes for a signal to rise from 10% of its final value to 90% of its final value.  For a signal passing through a low pass filter, t(10-90) increases as the -3 dB frequency of the filter is lowered.  (adapted from the Axon Guide)",
":Category:Temperature stimulus transduction","Temperature stimulus transduction","Sensory stimulus transduction",,,birnlex_15004,"sensory transduction of temperature stimulus",,"The series of events in which a sensory temperature stimulus is received and converted into a molecular signal. (GO:ai) (GO)",
":Category:Temporal Pattern Generation","Temporal Pattern Generation","Electrophysiology concept",,,oen_0001029,,ModelDB:3633,"Refers to process where networks of neurons or neural network models exhibit patterns of activity (membrane potential or actional potentials) that vary over time. Single neurons or neuron models may also exhibit temporal patterns of activity such as changes in action potential frequency.","Is this the same as central pattern generator? No, CPG is more specific (an example of a temporal pattern) and relates to motor systems only. Temporal patterns can be more general."
":Category:Temporal summation","Temporal summation",Summation,,,oen_0001195,,,"Addition of two or more individual currents, which are distinct in time but not necessarily space.",
:Category:Tetanus,Tetanus,"Electrophysiology concept",,,oen_0001189,,,"A pattern of stimuli that are generally close in time and relatively intense.",
:Category:Therapeutic,Therapeutic,"Defined class",":Category:Electrophysiology concept",,oen_0001028,,ModelDB:13855,"Treatment and care to combat disease or alleviate pain or injury.",
:Category:Threshold,Threshold,"Quality of a single physical entity",":Category:Electrophysiology concept",,PATO_0000152,,,"A quality inhering in a bearer by virtue of its sensitivity towards a fixed location or value where change is observed; upper limit.",
":Category:Threshold stimulus","Threshold stimulus","Electrophysiology concept",,,oen_0001097,,,"The level of stimulus energy that is just sufficient to elicit a response at the receptor, or brain area of study.  Note, in most sensory systems the threshold value will differ depending on the level of sensory system.",
":Category:Timothy Syndrome","Timothy Syndrome",Disease,":Category:Electrophysiology concept",,oen_0001027,,ModelDB:104624,"A rare autosomal dominant disorder characterized by physical malformations, as well as neurological and developmental defects, including heart QT-prolongation, heart arrhythmias, structural heart defects, syndactyly (webbing of fingers and toes) and autism spectrum disorders.",
":Category:Topographic map","Topographic map","Electrophysiology concept",,,oen_0001173,"Neural map",,"The orderly arrangement of neurons at successive levels of information processing in a pathway, such that the spatial relationships of stimuli are preserved from the organ of perception to the brain.",
":Category:Touch stimulus transduction","Touch stimulus transduction","Mechanical stimulus transduction",,,birnlex_15011,,,"The series of events involved in the perception of touch in which a sensory mechanical stimulus is received by a cell and converted into a molecular signal.",
":Category:Transmitter gated channel","Transmitter gated channel","Ion Channel",":Category:Electrophysiology concept",,oen_0001151,"Ligand gated channel",,"An ion channel whose opening and closing is regulated by the binding of a chemical messenger such as a neurotransmitter.",
":Category:Tuning curve","Tuning curve","Electrophysiology concept",,,oen_0001221,,,"An input output function used in the sensory systems where the average firing rate of the neuron as a function of relevant stimulus parameters is plotted.  For example, the tuning of a neuron is 2000 Hz if the neuron fires at a maximum frequency to the 2000 Hz tone presentation, while firing less to a 1800 Hz or 2200 Hz tone.  Similarly, a somatosensory neuron is tuned to the left index finger if it fires more intensely to touch of the left index finger, than other fingers.",
":Category:Two electrode voltage clamp recording protocol","Two electrode voltage clamp recording protocol","Multiple-electrode voltage clamp recording protocol",":Category:Electrophysiology concept",,oen_0001177,"Two electrode voltage clamp",,"A technique to measure the ion currents across the membrane of excitable cells, such as neurons, while holding the membrane voltage at a set level, while using two electrodes, one holds the membrane potential steady while the other measures current and the feedback circuit used to bridge the electrodes.",
":Category:Unsupervised Learning","Unsupervised Learning",Learning,":Category:Electrophysiology concept",,oen_0001026,,ModelDB:83538,"Approaches for organizing data where the learner is given only unlabeled examples.",
