match value,datafile description cue,ontology class label,ontology class iri
32,the list of,sparse noise multistimulus,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000067
32,have duration,"Vitek Industrial Video Products, Inc.",http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000763
31,software httpneuroscopesourceforgenet threshold,recording experimenter,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000123
31,binary versions,recording start date and time,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000721
31,binary,binary dense noise multistimulus,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000023
31,c session s,stimulation sequence number,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000092
31,one,Integrative zone,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001159
31,This information,light source wavelength lower bound,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000691
30,column,multielectrode array column count,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000526
30,between tables in,Cut open oocyte voltage clamp recording protocol,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001314
30,Page  of,analog input used channel count,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000295
30,are available,perfect integrate and fire,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000597
30,either mpg or,Two electrode voltage clamp recording protocol,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001177
30,from them during,Macropatch voltage clamp recording protocol,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001315
30,detecting putative,stimulation luminance number,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000536
30,index,device recording point index,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000424
30,physiologically identified exciting,numerical aperture,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000043
30,organized into,excitation filter passband transmission,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000390
30,int,internal diameter,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000035
30,sec,secretion of crop,http://purl.obolibrary.org/obo/UBERON_0012422
30,done to include,multielectrode array inter electrode interval,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000022
29,spikes allowed by,paper digital object identifier,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000208
29,cells pfreq with,stimulus isolator output range minimum voltage,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000494
28,file system was,image acquisition device CCD count,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000374
28,hceposcsv,species ISID,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000577
28,Within each cluN,minimum attenuation,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000248
28,they were judged,discrete signal left sweep,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000235
28,ksessId and,leaky integrate-and-fire,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000163
28,in three,has_manufacturer_model_name,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_9999996
28,data files provided,Cell-detached outside-out single-channel recording protocol,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001316
27,difference is,storage file server IP address,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000218
27,not perform the,secretion of Harderian gland,http://purl.obolibrary.org/obo/UBERON_0022282
27,group by nrSess,dataset quality range,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000633
27,are found,image acquisition region of interest width,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000347
27,desc limit,two photon fluorescence microscopy,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000423
27,round,stimulation luminance background,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000416
26,exciting cells based,current stimulus isolator output,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000388
26,not found,stimulus isolator output mode,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000389
25,file ececececclu,drifting stimulation movement stimulus,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000582
25,extra,stimulation acquisition extra time,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000037
25,and they,electrocardiogram device,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000463
24,numCells   Page,Butterworth filter,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000527
23,spikes  sec,digital input output line count,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0000223
23,Fee,Feed-forward inhibition,http://purl.org/incf/ontology/ExperimentalNeurophysiology/oen_term.owl/oen_0001154
