term;property;content;id;definition
;;Chemical stimulus transduction;http://neurolex.org/wiki/Category-3AChemical_stimulus_transduction;* The series of events in which a sensory chemical stimulus is received and converted into a molecular signal. (GO:ai) (GO) * Sensory transduction where the binding of a specific molecular species is the direct stimulus being.
;;Chemical Shifts Minimum Integration Limit in Hz;http://neurolex.org/wiki/Category-3AChemical_Shifts_Minimum_Integration_Limit_in_Hz;no def needed
;;"CSIR - Indian Institute of Chemical Biology; Kolkata; India";http://neurolex.org/wiki/Nlx_151744;"Indian Institute of Chemical Biology (IICB) was born on January 01, 1935 as the Indian Institute of Medical Research, the name by which the institute was known till 1956. The avowed objective of the institute was the advancement of the state of human knowledge related to the basic aspect of the causation and prevention of diseases of special concern for our country especially tropical diseases and also nutritional biochemistry and physiology. In 1956 the institute came under the umbrella of the CSIR. Today , by its mandate IICB is engaged in research on diseases and certain biological problems of global interest.

IICB is putting emphasis on quality basic research, on projects having applied potential and is looking forward to a successful Industry-Institute liason towards closer partnership."
;;Chemical structural analysis instrument;http://neurolex.org/wiki/Category-3AChemical_structural_analysis_instrument;
;;Resource:Chemical Carcinogenesis Research Information System;http://neurolex.org/wiki/Category-3AResource-3AChemical_Carcinogenesis_Research_Information_System;" 
CCRIS is a toxicology data file of the National Library of Medicine's (NLM) Toxicology Data Network (TOXNET). It is a scientifically evaluated and fully referenced data bank, developed and maintained by the National Cancer Institute (NCI). It contains over 9,000 chemical records with carcinogenicity, mutagenicity, tumor promotion, and tumor inhibition test results. 
Data are derived from studies cited in primary journals, current awareness tools, NCI reports, and other special sources. Test results have been reviewed by experts in carcinogenesis and mutagenesis. 
CCRIS is easily accessible and free of charge. Users can search by chemical or other name, chemical name fragment, Chemical Abstracts Service Registry Number (RN), and/or subject terms. Search results can easily be viewed, printed or downloaded. Search results are displayed in relevancy ranked order. Users may select to display any combination of data from the following broad groupings: 
(a) Carcinogenicity Studies 
(b) Tumor Promotion Studies 
(c) Mutagenicity Studies 
(d) Tumor Inhibition Studies 
Users can easily conduct their CCRIS search strategy against other databases: Hazardous Substances Data Bank, Integrated Risk Information System, GENE-TOX, TOXLINE, and ChemIDplus."
;;Resource:NIH Chemical Genomics Center;http://neurolex.org/wiki/Nlx_144648;"The NIH Chemical Genomics Center (NCGC) was created in 2008 as a Comprehensive Screening Center in the Molecular Libraries Probe Production Centers Network, part of the NIH Molecular Libraries Common Fund Program. The goals of NCGC in the NCATS Division of Pre-Clinical Innovation are to translate the discoveries of the Human Genome Project into biological and disease insights and ultimately new therapeutics for human disease through small molecule assay development, high-throughput screening, cheminformatics and chemistry.

NCGC programs include Assay Development and High-Throughput Screening, Chemistry Technology and RNAi.

In addition, NCGC is one of 12 centers that make up the National Cancer Institute&#8217;s Chemical Biology Consortium. These centers use the consortium&#8217;s high-throughput screening, informatics and chemistry resources to work on select cancer biology projects and move them through the therapeutics development pipeline, eventually into the clinic.

Through such programs, NCGC produces a variety of pre-clinical research tools, from informatics and software tools to an assay guidance manual and more than 200 molecular probes."
;;De-coupling Chemical Shift Reference;http://neurolex.org/wiki/Category-3ADe-2Dcoupling_Chemical_Shift_Reference;The chemical shift in ppm at the decoupling frequency. Required if De-coupling (0018,9059) equals YES.
;;Resource:NIMH Chemical Synthesis and Drug Supply Program;http://neurolex.org/wiki/Category-3AResource-3ANIMH_Chemical_Synthesis_and_Drug_Supply_Program;"A program that synthesizes, purifies, and distributes otherwise unavailable essential compounds to stimulate basic and clinical research in psychopharmacology relevant to mental health in areas such as the molecular pharmacology and signaling of CNS receptors, longitudinal studies to evaluate the molecular, biochemical, and behavioral actions of psychoactive compounds, and functional brain imaging in both primates and humans.
 
WHAT IS AVAILABLE: 
* Ligands for CNS receptors, radiolabeled compounds for autoradiography and neuroimaging, biochemical markers, drug analogs and metabolites, and reference standards
* Synthesis (including GMP) of promising compounds for mental health research, including preclinical toxicology and safety studies, especially compounds for PET neuroimaging
* A listing of currently available NIMH CSDSP compounds is available online at www.nimh-repository.rti.org. RTI International scientists can provide investigators with technical assistance and additional information about the compounds on request. Data sheets containing purity, storage, and handling information are supplied with all NIMH CSDSP compounds.

WHO IS ELIGIBLE: 
Investigators involved in basic or clinical research relevant to mental health are eligible to submit requests. To learn 
more about current NIMH research areas, please visit the NIMH website at www.nimh.nih.gov. NIMH CSDSP compounds are free to qualified academic investigators, but payment may be required from nonacademic requestors.

Investigators interested in obtaining radiolabeled compounds but uncertain about what type of label or specific activity would work best for them may obtain help by communicating with the technical contacts listed on the website."
;;Chemical Synapse;http://neurolex.org/wiki/Sao289211478;
;;Resource:Chemical Effects in BIological Systems;http://neurolex.org/wiki/Nif-2D0000-2D02649;"Integrated public repository for toxicogenomics data, including the study design and timeline, clinical chemistry and histopathology findings and microarray and proteomics data. CEBS contains data derived from studies of chemicals and of genetic alterations, and is compatible with clinical and environmental studies. CEBS welcomes good-quality data relating to environmental health, pharmacology, and toxicology. It is not necessary to have microarray data, but a study design and phenotypic anchoring data are required. 

CEBS is designed to permit the user to query the data using the study conditions, the subject responses and then, having identified an appropriate set of subjects, to move to the microarray module of CEBS to carry out gene signature and pathway analysis. 

CEBS currently holds 22 studies of rats, four studies of mice and one study of Caenorhabditis elegans. CEBS can also accommodate data from studies of human subjects. Toxicogenomics studies currently in CEBS comprise over 4000 microarray hybridizations, and 75 2D gel images annotated with protein identification performed by MALDI and MS/MS. CEBS contains raw microarray data collected in accordance with MIAME guidelines and provides tools for data selection, pre-processing and analysis resulting in annotated lists of genes of interest. Additionally, clinical chemistry and histopathology findings from over 1500 animals are included in CEBS. 

The BID (Biomedical Investigation Database) is another component of the CEBS system. BID is a relational database used to load and curate study data prior to export to CEBS, in addition to capturing and displaying novel data types such as PCR data, or additional fields of interest, including those defined by the HESI Toxicogenomics Committee (in preparation). BID has been shared with Health Canada and the US Environmental Protection Agency."
;;Chemical Shifts Maximum Integration Limit in Hz;http://neurolex.org/wiki/Category-3AChemical_Shifts_Maximum_Integration_Limit_in_Hz;no def needed
;;"CSIR - Indian Institute of Chemical Biology; Kolkata; India";"http://neurolex.org/wiki/Category-3ACSIR_-2D_Indian_Institute_of_Chemical_Biology;_Kolkata;_India";"Indian Institute of Chemical Biology (IICB) was born on January 01, 1935 as the Indian Institute of Medical Research, the name by which the institute was known till 1956. The avowed objective of the institute was the advancement of the state of human knowledge related to the basic aspect of the causation and prevention of diseases of special concern for our country especially tropical diseases and also nutritional biochemistry and physiology. In 1956 the institute came under the umbrella of the CSIR. Today , by its mandate IICB is engaged in research on diseases and certain biological problems of global interest.

IICB is putting emphasis on quality basic research, on projects having applied potential and is looking forward to a successful Industry-Institute liason towards closer partnership."
;;Chemical supplier;http://neurolex.org/wiki/Nlx_res_090915;A material resource that provides chemicals e.,g., drugs, probes, salts, small molecules
;;Resource:Search Tool for Interactions of Chemicals;http://neurolex.org/wiki/Nif-2D0000-2D03499;" 
STITCH is a resource to explore known and predicted interactions of chemicals and proteins. It integrates information about interactions from metabolic pathways, crystal structures, binding experiments and drug-target relationships. Inferred information from phenotypic effects, text mining and chemical structure similarity is used to predict relations between chemicals. 
STITCH further allows exploring the network of chemical relations, also in the context of associated binding proteins. Each proposed interaction can be traced back to the original data sources. The database contains interaction information for over 68,000 different chemicals, including 2200 drugs, and connects them to 1.5 million genes across 373 genomes and their interactions contained in the STRING database."
;;Resource:Database of Chemical Compounds and Reactions in Biological Pathways;http://neurolex.org/wiki/Nif-2D0000-2D20832;"KEGG LIGAND contains knowledge of chemical substances and reactions that are relevant to life. It is a composite database consisting of COMPOUND, GLYCAN, REACTION, RPAIR, and ENZYME databases, whose entries are identified by C, G, R, RP, and EC numbers, respectively. 
ENZYME is derived from the IUBMB/IUPAC Enzyme Nomenclature, but the others are internally developed and maintained. The primary database of KEGG LIGAND is a relational database with the KegDraw interface, which is used to generated the secondary (flat file) database for DBGET."
;;Resource:Search Tool for Interactions of Chemicals;http://neurolex.org/wiki/Category-3AResource-3ASearch_Tool_for_Interactions_of_Chemicals;" 
STITCH is a resource to explore known and predicted interactions of chemicals and proteins. It integrates information about interactions from metabolic pathways, crystal structures, binding experiments and drug-target relationships. Inferred information from phenotypic effects, text mining and chemical structure similarity is used to predict relations between chemicals. 
STITCH further allows exploring the network of chemical relations, also in the context of associated binding proteins. Each proposed interaction can be traced back to the original data sources. The database contains interaction information for over 68,000 different chemicals, including 2200 drugs, and connects them to 1.5 million genes across 373 genomes and their interactions contained in the STRING database."
;;Symmetrical Chemical Synapse Quality;http://neurolex.org/wiki/Category-3ASymmetrical_Chemical_Synapse_Quality;Type of chemical synapse characterized by a thin post-synaptic density relatively equal in density to the pre-synaptic specialization giving the junction a symmetric appearance.  This type of synapse is also characterized by flattened or pleiomorphic vesicles in the pre-synaptic terminal when fixed with aldehydes.
;;Chemical separation instrument;http://neurolex.org/wiki/Category-3AChemical_separation_instrument;
;;Chemical compositional analysis instrument;http://neurolex.org/wiki/Category-3AChemical_compositional_analysis_instrument;
;;Resource:Cayman Chemical;http://neurolex.org/wiki/Category-3AResource-3ACayman_Chemical;
;;Resource:Burnham Institute for Medical Research, Conrad Prebys Center for Chemical Genomics;http://neurolex.org/wiki/Category-3AResource-3ABurnham_Institute_for_Medical_Research,_Conrad_Prebys_Center_for_Chemical_Genomics;" 
The Conrad Prebys Center for Chemical Genomics (CPCCG) uses advanced screening technologies to identify high level chemical probes that interact with proteins involved in cellular processes. Optimization of these probes using medicinal chemistry and informatics will form the basis of a new generation of medicines. 
CPCCG is 1 of 4 Comprehensive Centers chosen nationally to be a part of the Molecular Libraries Probe Program (MLP), which established the Molecular Libraries Probe Production Centers Network (MLPCN). The goal is to produce small molecule probes that allow research into health and disease on the cellular level. 
CPCCG core services span a range of biochemical and cell-based screens for obtaining hits and provide chemistry resources for optimizing hits into probes or drug development. 
- Full scale screening capabilities and technology which can provide rapid screening on a broad diversity of assays and detection platforms 
- Several fully-integrated industrial-scale high-throughput screening (HTS) workstations 
- HTS microscopy/HCS and novel algorithm development for image analysis 
- Full hit-to-probe chemistry and exploratory pharmacology 
- Powerful NMR based Chemical Fragment Screening 
- Highly integrated informatics infrastructure and efficient data mining capabilities 
- Protein production facility 
- Cell production facility for scale-up tissue culture 
The CPCCG Screening Core can screen 96, 384 or 1536 well formats using either biochemical or cell-based assays, and can process over 300,000 wells per day. Total throughput capacity will climb to over 2 million compounds per day following the opening of Burnhams east coast campus in Lake Nona, Florida."
;;Chemical compositional analysis instrument;http://neurolex.org/wiki/Birnlex_2397;
;;Chemical quantification instrument;http://neurolex.org/wiki/Category-3AChemical_quantification_instrument;
;;Resource:Burnham Institute for Medical Research, Conrad Prebys Center for Chemical Genomics;http://neurolex.org/wiki/Nif-2D0000-2D10180;" 
The Conrad Prebys Center for Chemical Genomics (CPCCG) uses advanced screening technologies to identify high level chemical probes that interact with proteins involved in cellular processes. Optimization of these probes using medicinal chemistry and informatics will form the basis of a new generation of medicines. 
CPCCG is 1 of 4 Comprehensive Centers chosen nationally to be a part of the Molecular Libraries Probe Program (MLP), which established the Molecular Libraries Probe Production Centers Network (MLPCN). The goal is to produce small molecule probes that allow research into health and disease on the cellular level. 
CPCCG core services span a range of biochemical and cell-based screens for obtaining hits and provide chemistry resources for optimizing hits into probes or drug development. 
- Full scale screening capabilities and technology which can provide rapid screening on a broad diversity of assays and detection platforms 
- Several fully-integrated industrial-scale high-throughput screening (HTS) workstations 
- HTS microscopy/HCS and novel algorithm development for image analysis 
- Full hit-to-probe chemistry and exploratory pharmacology 
- Powerful NMR based Chemical Fragment Screening 
- Highly integrated informatics infrastructure and efficient data mining capabilities 
- Protein production facility 
- Cell production facility for scale-up tissue culture 
The CPCCG Screening Core can screen 96, 384 or 1536 well formats using either biochemical or cell-based assays, and can process over 300,000 wells per day. Total throughput capacity will climb to over 2 million compounds per day following the opening of Burnhams east coast campus in Lake Nona, Florida."
;;Resource:Database of Chemical Compounds and Reactions in Biological Pathways;http://neurolex.org/wiki/Category-3AResource-3ADatabase_of_Chemical_Compounds_and_Reactions_in_Biological_Pathways;"KEGG LIGAND contains knowledge of chemical substances and reactions that are relevant to life. It is a composite database consisting of COMPOUND, GLYCAN, REACTION, RPAIR, and ENZYME databases, whose entries are identified by C, G, R, RP, and EC numbers, respectively. 
ENZYME is derived from the IUBMB/IUPAC Enzyme Nomenclature, but the others are internally developed and maintained. The primary database of KEGG LIGAND is a relational database with the KegDraw interface, which is used to generated the secondary (flat file) database for DBGET."
;;Chemical Shift Reference;http://neurolex.org/wiki/Category-3AChemical_Shift_Reference;The chemical shift at the transmitter frequency in ppm. Required if Image Type (0008,0008) Value 1 is ORIGINAL or MIXED. May be present otherwise.
;;Chemical supplier;http://neurolex.org/wiki/Chemical_supplier_(nlx_res_090915);A material resource that provides chemicals e.,g., drugs, probes, salts, small molecules
;;Chemical separation instrument;http://neurolex.org/wiki/Birnlex_2398;
;;Resource:Kokusan Chemical;http://neurolex.org/wiki/Nlx_152394;
;;Resource:Cayman Chemical;http://neurolex.org/wiki/Nlx_152325;
;;Chemical quantification instrument;http://neurolex.org/wiki/Birnlex_2451;
;;Resource:Selleck Chemicals LLC;http://neurolex.org/wiki/Nlx_152457;
;;Chemical Synapse Quality;http://neurolex.org/wiki/Category-3AChemical_Synapse_Quality;
;;Chemical Shifts Maximum Integration Limit in ppm;http://neurolex.org/wiki/Category-3AChemical_Shifts_Maximum_Integration_Limit_in_ppm;no def needed
;;Chemical Synapse Quality;http://neurolex.org/wiki/Sao1746643703;
;;Asymmetrical Chemical Synapse Quality;http://neurolex.org/wiki/Category-3AAsymmetrical_Chemical_Synapse_Quality;Type of chemical synapse characterized by a pronounced and relatively thick post-synaptic density compared to the pre-synaptic specialization giving the junction an asymmetrical appearance.  This type of synapse is also characterized by round, clear vesicles in the pre-synaptic terminal.
;;Resource:NIH Chemical Genomics Center;http://neurolex.org/wiki/Category-3AResource-3ANIH_Chemical_Genomics_Center;"The NIH Chemical Genomics Center (NCGC) was created in 2008 as a Comprehensive Screening Center in the Molecular Libraries Probe Production Centers Network, part of the NIH Molecular Libraries Common Fund Program. The goals of NCGC in the NCATS Division of Pre-Clinical Innovation are to translate the discoveries of the Human Genome Project into biological and disease insights and ultimately new therapeutics for human disease through small molecule assay development, high-throughput screening, cheminformatics and chemistry.

NCGC programs include Assay Development and High-Throughput Screening, Chemistry Technology and RNAi.

In addition, NCGC is one of 12 centers that make up the National Cancer Institute&#8217;s Chemical Biology Consortium. These centers use the consortium&#8217;s high-throughput screening, informatics and chemistry resources to work on select cancer biology projects and move them through the therapeutics development pipeline, eventually into the clinic.

Through such programs, NCGC produces a variety of pre-clinical research tools, from informatics and software tools to an assay guidance manual and more than 200 molecular probes."
;;Resource:Chemical Carcinogenesis Research Information System;http://neurolex.org/wiki/Nif-2D0000-2D21077;" 
CCRIS is a toxicology data file of the National Library of Medicine's (NLM) Toxicology Data Network (TOXNET). It is a scientifically evaluated and fully referenced data bank, developed and maintained by the National Cancer Institute (NCI). It contains over 9,000 chemical records with carcinogenicity, mutagenicity, tumor promotion, and tumor inhibition test results. 
Data are derived from studies cited in primary journals, current awareness tools, NCI reports, and other special sources. Test results have been reviewed by experts in carcinogenesis and mutagenesis. 
CCRIS is easily accessible and free of charge. Users can search by chemical or other name, chemical name fragment, Chemical Abstracts Service Registry Number (RN), and/or subject terms. Search results can easily be viewed, printed or downloaded. Search results are displayed in relevancy ranked order. Users may select to display any combination of data from the following broad groupings: 
(a) Carcinogenicity Studies 
(b) Tumor Promotion Studies 
(c) Mutagenicity Studies 
(d) Tumor Inhibition Studies 
Users can easily conduct their CCRIS search strategy against other databases: Hazardous Substances Data Bank, Integrated Risk Information System, GENE-TOX, TOXLINE, and ChemIDplus."
;OBI_related;chemical cleavage;http://purl.obolibrary.org/obo/OBI_0000943;chemical cleavage is a protocol application relying on a chemical compound to cause the fragmentation of an input material that is susceptible to that chemical agent
;;chemical solution;http://purl.obolibrary.org/obo/OBI_0302729;A material entity  that is made up of at least 2 scattered molecular aggregates, one playing the role of solvent and the other one playing the role of solute.
;;role of regulator of chemical manufacturer;http://purl.obolibrary.org/obo/OBI_0000089;a regulator involved with making and enforcing legislation and governmental orders relevant to chemical manufacture
;;single-nucleotide-resolution nucleic acid structure mapping assay using chemical probing;http://purl.obolibrary.org/obo/OBI_0001017;a single-nucleotide-resolution nucleic acid structure mapping assay which relies on small chemical compounds acting as chemical probes  in order to produce measurement information which one interpreted provide structural information about the RNA species under study.
;ERO_related;chemical target;http://purl.obolibrary.org/obo/ERO_0001537;A non-biological chemical entity (a compound, molecule or aggregate) that has as part some molecular antigen that is recognized by an antibody.
;;chemical vapor deposition system;http://purl.obolibrary.org/obo/ERO_0001457;An instrument used to produce high-purity, high-performance solid materials, often used in the semiconductor industry to produce thin films.
;;chemical synthesis;http://purl.obolibrary.org/obo/ERO_0000479;Material production technique whereby chemical entities are synthesized from other chemical entities.
;;chemical structure modeling objective;http://purl.obolibrary.org/obo/ERO_0100241;
;;chemical fixation;http://purl.obolibrary.org/obo/ERO_0001710;Fixation using chemical fixative to stabilize the proteins, nucleic acids and mucosubstances of the tissue or cells by making them insoluble.
;;chemical structure analysis;http://purl.obolibrary.org/obo/ERO_0100238;objective to analyse the structure of a chemical (ie a non-macromolecule)
;;chemical reagent;http://purl.obolibrary.org/obo/ERO_0000162;Reagent that is a material of pure chemical composition, either an element or a compound.
;;wet chemical bench;http://purl.obolibrary.org/obo/ERO_0000959;An instrument that is a specialized bench used for nano-scale manufacturing such as for use in etching and cleaning samples.
;;chemical reaction data analysis objective;http://purl.obolibrary.org/obo/ERO_0100151;
;;chemical fume hood;http://purl.obolibrary.org/obo/ERO_0000438;Instrument that is a local ventilation device that is designed to limit the user's exposure to hazardous or noxious fumes, vapors or dusts. A fume hood is typically a large piece of equipment enclosing five sides of a work area, the bottom of which is most commonly located at a standing work height. Air is drawn in from the front (open) side of the cabinet, and either expelled outside the building or made safe through filtration and fed back into the room.
;;chemical structure classification objective;http://purl.obolibrary.org/obo/ERO_0100239;
;;chemical structure comparison objective;http://purl.obolibrary.org/obo/ERO_0100240;
;;chemical ionization mass spectrometry;http://purl.obolibrary.org/obo/ERO_0001624;A mass spectrometry technique in which trace neutral gases are converted to unique ions by reaction with a suitable precursor ion. The ions can then be detected without interference from background atmospheric species since there is virtually no ion background in the atmosphere.
;;synthetic chemical library;http://purl.obolibrary.org/obo/ERO_0000303;A chemical library that consists solely of synthetic chemicals.
;;chemical vapor deposition furnace;http://purl.obolibrary.org/obo/ERO_0001455;A chemical vapor deposition system used for annealing, the process of heating a material above its recrystallization temperature, maintaining a suitable temperature, and then cooling.
;;chemical library;http://purl.obolibrary.org/obo/ERO_0000293;Reagent library that is a collection of stored chemicals. Each chemical has associated information stored in some kind of database with information such as the chemical structure, purity, quantity, and physiochemical characteristics of the compound.
;;known bioactives collection chemical library;http://purl.obolibrary.org/obo/ERO_0000302;A chemical library that consists of chemicals known to exert a biological effect in living organisms or cells.
;;chemical modification;http://purl.obolibrary.org/obo/ERO_0001298;A material processing technique in which substrate material is modified by the addition of a chemical agent that modifies the chemical structure of the substrate.
;;natural product extracts chemical library;http://purl.obolibrary.org/obo/ERO_0000301;A chemical library that consists of chemicals produced by and extracted from living organisms.
;neurolex_definition;Small molecules not of organismal origin;;
;neurolex_label;Chemical;;
;;Chemical;;
;neurolex_id;http://neurolex.org/wiki/Category-3AChemical;;
;;http://neurolex.org/wiki/Nlx_chem_20090203;;
;provenance;is split of: chemical solution;;
microscope;neurolex_related;Surgical Microscope;http://neurolex.org/wiki/Category-3ASurgical_Microscope;Used in animal surgery in a stand up configuration. Typically these use very high definition optics at a lower magnification
;;Microscope Light Source;http://neurolex.org/wiki/Category-3AMicroscope_Light_Source;Used to illuminate the subject under stereo microscopes and other applications where an external light source is required.
;;Inverted Light Microscope;http://neurolex.org/wiki/Category-3AInverted_Light_Microscope;Used in applications such as low to medium magnifications (50X to 200X) such as in patch clamping and large cell injections where the object is in a small liquid bath with circulation and the illumination comes from above the sample.
;;Surgical Microscope;http://neurolex.org/wiki/Nlx_137342;Used in animal surgery in a stand up configuration. Typically these use very high definition optics at a lower magnification
;OBI_related;scanning force microscope;http://purl.obolibrary.org/obo/OBI_0001105;A microscope that forms images of surfaces using a physical probe that scans the specimen.
;;spinning-disk confocal microscope;http://purl.obolibrary.org/obo/OBI_0001055;A confocal microscope that uses a Nipkow disk, a mechanical, geometrically operating image scanning device.
;;digital microscope;http://purl.obolibrary.org/obo/OBI_0001126;A microscope that uses optics and a charge-coupled device (CCD) camera to output a digital image to a monitor.
;;confocal microscope;http://purl.obolibrary.org/obo/OBI_0001079;A microscope that is used to increase micrograph contrast and/or reconstruct three-dimensional images by using a spatial pinhole to eliminate out-of-focus light in specimens that are thicker than the focal plane.
;;laser scanning confocal microscope;http://purl.obolibrary.org/obo/OBI_0001125;A confocal microscope that obtains high-resolution optical images with depth selectivity, in which a laser beam passes through a light source aperture and then is focused by an objective lens into a small (ideally diffraction limited) focal volume within or on the surface of a specimen.
;;microscope slide;http://purl.obolibrary.org/obo/OBI_0400170;a microscope slide is a device usually made of glass which is used as a solid matrix for (biological) material deposited on its surface and which is compatible for use with a microscope instrument
;;programmable array microscope;http://purl.obolibrary.org/obo/OBI_0001071;A confocal microscope that uses a programmable spatial light modulator for generating an arbitrary pattern of conjugate illumination and detection apertures.
;;optical microscope;http://purl.obolibrary.org/obo/OBI_0000940;A microscope that produces an image of an object by targeting it with an electro-magnetic beam in the visible frequency range
;;electron microscope;http://purl.obolibrary.org/obo/OBI_0000990;A microscope that produces an image of an object by targeting it with an electron beam
;;laser capture microdissection microscope;http://purl.obolibrary.org/obo/OBI_0001096;A microscope that uses low-energy laser beams and special transfer film to lift single cells from a tissue.
;;stereo microscope;http://purl.obolibrary.org/obo/OBI_0001065;An optical microscope that uses two separate optical paths with two objectives and two eyepieces to provide slightly different viewing angles to the left and right eyes.
;ERO_related;interfacial force microscope;http://purl.obolibrary.org/obo/ERO_0001751;A microscope capable of measuring normal and lateral forces between a probe and sample.
;;teaching microscope;http://purl.obolibrary.org/obo/ERO_0001006;A microscope with multiple binocular heads simultaneously displaying the same microscopic image.
;;variable pressure analytical field emission scanning electron microscope;http://purl.obolibrary.org/obo/ERO_0001800;A field emission scanning electron microscope that allows for a variable pressure mode.
;;cryogenic transmission electron microscope;http://purl.obolibrary.org/obo/ERO_0001807;A transmission electron microscope where the sample is studied at cryogenic temperatures (generally liquid nitrogen temperatures).
;;programmable array microscope;http://purl.obolibrary.org/obo/OBI_0001071;A confocal microscope that uses a programmable spatial light modulator for generating an arbitrary pattern of conjugate illumination and detection apertures.
;;raman-atomic force microscope;http://purl.obolibrary.org/obo/ERO_0001749;An atomic force microscope that has inegrated raman spectroscopy, for examination of chemical and structural properties of materials at sub-micrometer scales.
;;stereo microscope;http://purl.obolibrary.org/obo/OBI_0001065;An optical microscope that uses two separate optical paths with two objectives and two eyepieces to provide slightly different viewing angles to the left and right eyes.
;;inverted stereo microscope;http://purl.obolibrary.org/obo/ERO_0000978;A stereo microscope with its light source and condenser on the top, above the stage pointing down, while the objectives and turret are below the stage pointing up.
;;scanning force microscope;http://purl.obolibrary.org/obo/OBI_0001105;A microscope that forms images of surfaces using a physical probe that scans the specimen.
;;surgical microscope;http://purl.obolibrary.org/obo/ERO_0000879;A microscope used to visualize fine structures within the area of a surgical procedure.
;;microscope digital camera;http://purl.obolibrary.org/obo/ERO_0000276;A digital camera for a microscope, which records image data of a sample image obtained by the microscope in a recording medium.
;;digital microscope;http://purl.obolibrary.org/obo/OBI_0001126;A microscope that uses optics and a charge-coupled device (CCD) camera to output a digital image to a monitor.
;;inverted microscope;http://purl.obolibrary.org/obo/ERO_0000344;An optical microscope with its light source and condenser on the top, above the stage pointing down, while the objectives and turret are below the stage pointing up.
;;scanning transmission electron microscope;http://purl.obolibrary.org/obo/ERO_0001444;A transmission electron microscope where the electrons pass through a sufficiently thin specimen by focusing the electron beam into a narrow spot which is scanned over the sample in a raster.
;;laser scanning confocal microscope;http://purl.obolibrary.org/obo/OBI_0001125;A confocal microscope that obtains high-resolution optical images with depth selectivity, in which a laser beam passes through a light source aperture and then is focused by an objective lens into a small (ideally diffraction limited) focal volume within or on the surface of a specimen.
;;transmission electron microscope;http://purl.obolibrary.org/obo/ERO_0000248;An electron microscope that uses a high voltage electron beam to create an image.
;;optical microscope;http://purl.obolibrary.org/obo/OBI_0000940;A microscope that produces an image of an object by targeting it with an electro-magnetic beam in the visible frequency range
;;upright microscope;http://purl.obolibrary.org/obo/ERO_0000497;A microscope that has the illumination system below the stage and the lens system above the stage.
;;fluorescence compound microscope;http://purl.obolibrary.org/obo/ERO_0000934;A fluorescence microscope in which magnification is achieved in two stages. It utilizes an objective lens, usually several of different power on a turret and an eyepiece that is used to further magnify the image formed by the objective lens.
;;laser capture microdissection microscope;http://purl.obolibrary.org/obo/OBI_0001096;A microscope that uses low-energy laser beams and special transfer film to lift single cells from a tissue.
;;incubator microscope;http://purl.obolibrary.org/obo/ERO_0001947;A microscope fitted with an environmental control chamber used to image live samples.
;;infrared microscope;http://purl.obolibrary.org/obo/ERO_0000496;A microscope that uses the infrared region of the electromagnetic radiation spectrum, often used for the study of materials that are uniformly transparent or opaque in the visible spectrum, but have significant absorption or transmission bands in the 700 nanometer-plus wavelength region.
;;confocal microscope;http://purl.obolibrary.org/obo/OBI_0001079;A microscope that is used to increase micrograph contrast and/or reconstruct three-dimensional images by using a spatial pinhole to eliminate out-of-focus light in specimens that are thicker than the focal plane.
;;Raman confocal microscope;http://purl.obolibrary.org/obo/ERO_0000610;A confocal microscope that consists of of an optical microscope, an excitation laser, a monochromator, and a sensitive detector (such as a charge-coupled device or photomultiplier tube), has high spatial resolution, and relies on inelastic scattering, or Raman scattering, of monochromatic light.
;;environmental scanning electron microscope;http://purl.obolibrary.org/obo/ERO_0000273;A scanning electron microscope that has a secondary-electron detector capable of operating in the presence of water vapour and pressure-limiting apertures with differential pumping in the path of the electron beam to separate the vacuum region (around the gun and lenses) from the sample chamber, which allows samples to be observed in low-pressure gaseous environments (e.g. 1-50 Torr) and high relative humidity (up to 100%).
;;field emission scanning electron microscope;http://purl.obolibrary.org/obo/ERO_0000613;A scanning electron microscope that has electromagnetic coils that form an electron beam that scans the object (scan) and secondary electrons are produced by interaction with the atoms at the surface of the sample.
;;atomic force microscope;http://purl.obolibrary.org/obo/ERO_0000463;A scanning force microscope used for determining the surface topography of native biomolecules at subnanometer resolution. It allows biomolecules to be imaged not only under physiological conditions, but also while biological processes are at work.
;;energy filtering transmission electron microscope;http://purl.obolibrary.org/obo/ERO_0000937;A transmission electron microscope that produces an image of an object by electron scattering. The contrast is optimized by filtering out the contrast-reducing electrons from the spectrum of transmitted electrons, or by only allowing electrons containing specific information to be used for imaging.
;;deconvolution microscope;http://purl.obolibrary.org/obo/ERO_0000374;Fluorescence microscope that uses a computational method to reduce out-of-focus fluorescence in three-dimensional (3D) microscope image.
;;fluorescence microscope;http://purl.obolibrary.org/obo/ERO_0000249;An optical microscope used to study properties of organic or inorganic substances using the phenomena of fluorescence  and phosphorescence instead of, or in addition to, reflection and absorption.
;;total internal reflection fluorescence atomic force microscope;http://purl.obolibrary.org/obo/ERO_0001750;Total internal reflection fluorescence instrument combined with atomic force microscope used to detect and confirm the result of cellular level manipulations made with the AFM part through the detection system of the highly sensitive fluorescence microscope part.
;;motorized microscope stage;http://purl.obolibrary.org/obo/ERO_0001033;An instrument that contains a small motorized platform on a microscope where the specimen is mounted for examination.
;;dissecting surgical microscope;http://purl.obolibrary.org/obo/ERO_0000958;A microscope that allows for maneuverability around the patient during surgery.
